instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb,n,m,pc,k,obs_pb,obs_bb,obs_box
50,4,3,1,0.317,2.48,11.695,2.0,2.86999716552785e6,2.86999716552785e6,2.86999716552785e6,6,15,0.3,1,2.869997165529251e6,2.869997165529251e6,2.869997165529251e6
10,43872,70,1,1330.098,41.928,12.247,0.07142857142857072,2.518713354484554e7,2.5187133544845544e7,2.8850271662396558e7,6,15,0.3,2,2.4185330980831146e7,1.9127846884059906e7,1.9008005085712433e7
11,4878,28,1,66.44,6.161,12.1,1.0,5.56147728620182e6,5.561477286201822e6,5.561477286201822e6,6,15,0.3,2,5.56147728619957e6,5.56147728619957e6,4.971760376317978e6
12,38897,121,1,3600.02,265.551,11.438,0.2307692307692264,2.910887979371196e7,2.5271237755543515e7,2.982144446543923e7,6,15,0.3,2,2.411816429494667e7,1.9436780434164047e7,1.944819827263069e7
13,67386,135,1,3600.095,268.387,8.92,4.199191596399033e-6,2.4039627644230004e7,2.329627065605827e7,2.5030870473978877e7,6,15,0.3,2,1.8711602082784653e7,1.7192539469575882e7,1.7918697266260147e7
14,2432,28,1,43.527,8.235,9.083,0.30769230769230305,7.377070054165552e6,7.377070054165553e6,7.675971129433091e6,6,15,0.3,2,7.675971129430771e6,7.377067736623764e6,7.377063966852188e6
15,142671,79,1,3600.001,43.273,9.827,2.2856594483755543e-6,1.2857148335426725e7,1.2857148335426662e7,1.3961954691147912e7,6,15,0.3,2,1.2187531717653275e7,9.705419803806305e6,1.0815535193069458e7
16,4502,42,1,49.934,11.097,10.513,1.0,1.5886539949926326e7,1.5886539949926328e7,1.5886539949926328e7,6,15,0.3,2,1.5886539949930191e7,1.0279896492452621e7,1.4575673368724823e7
17,11262,47,1,233.523,27.182,10.06,1.0,1.3986768472266372e7,1.3986768357631152e7,1.4490715939422533e7,6,15,0.3,2,1.4490715939422607e7,1.3212879418254852e7,1.2336690970788956e7
18,13626,55,1,153.813,17.38,9.423,0.9999998577930569,1.6550617739058532e7,1.6550617739058536e7,1.6550617739058534e7,6,15,0.3,2,1.655061773905754e7,1.4624231231664658e7,1.217250384664917e7
19,70805,107,1,3600.058,136.699,9.039,1.714230315030818e-6,2.2666541867224306e7,2.1320080452920906e7,2.502270398225791e7,6,15,0.3,2,1.729688345784378e7,1.5638157698524475e7,1.6644751069856644e7
